İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
20844142,25 Ağustos 2022,Peugeot,508,1.6 e-HDi Access,2015,25.000 km,Yarı Otomatik,Dizel,Sedan,1560 cc,117 hp,Önden Çekiş,4 lt,72 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,550000
20845385,25 Ağustos 2022,Fiat,Linea,1.3 Multijet Active Plus,2010,195.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,202000
20847168,25 Ağustos 2022,Citroen,C4 Picasso,1.6 HDi SX PK,2010,224.000 km,Yarı Otomatik,Dizel,MPV,1560 cc,111 hp,Önden Çekiş,"5,7 lt",60 lt,"3 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,305000
20846396,25 Ağustos 2022,Peugeot,301,1.6 HDi Active,2018,95.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,345000
20846169,25 Ağustos 2022,Kia,Rio,1.25 CVVT Fancy,2013,59.500 km,Düz,Benzin,Hatchback/5,1248 cc,85 hp,Önden Çekiş,"5,1 lt",43 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,349000
20830851,25 Ağustos 2022,Renault,R 9,1.4 Spring,1994,200.000 km,Düz,LPG & Benzin,Sedan,1390 cc,72 hp,Önden Çekiş,0 lt,47 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,59500
20847164,25 Ağustos 2022,Citroen,C5,1.6 e-HDi Confort,2011,225.000 km,Yarı Otomatik,Dizel,Sedan,1560 cc,114 hp,Önden Çekiş,"4,6 lt",71 lt,Tamamı orjinal,Takasa Uygun,Galeriden,298750
20846557,25 Ağustos 2022,Hyundai,i20,1.4 CRDi Jump,2012,210.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,185500
20846539,25 Ağustos 2022,Honda,City,1.5 i-VTEC Executive,2021,4.800 km,Otomatik,Benzin,Sedan,1498 cc,121 hp,Önden Çekiş,"6,2 lt",40 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,527500
20846187,25 Ağustos 2022,Opel,Astra,1.6 CDTI Elite,2016,113.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Önden Çekiş,"5,1 lt",56 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,490000
20844630,25 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Attraction,2016,215.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",48 lt,2 değişen,Takasa Uygun Değil,Sahibinden,257000
20845893,25 Ağustos 2022,Peugeot,508,1.6 Puretech GT Line,2020,20.000 km,Otomatik,Benzin,Sedan,1598 cc,180 hp,Önden Çekiş,"5,4 lt",62 lt,1 değişen,Takasa Uygun Değil,Sahibinden,945000
20845578,25 Ağustos 2022,Renault,Fluence,1.5 dCi Icon,2015,111.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,1 değişen,Takasa Uygun Değil,Sahibinden,425000
20846197,25 Ağustos 2022,Volkswagen,Passat,2.0 TDi Comfortline,2005,296.000 km,Düz,Dizel,Sedan,1968 cc,140 hp,Önden Çekiş,"5,8 lt",70 lt,6 boyalı,Takasa Uygun Değil,Sahibinden,255000
20844288,25 Ağustos 2022,Renault,Clio,1.5 dCi Icon,2018,85.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,90 hp,Önden Çekiş,"3,7 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,455000
20844249,25 Ağustos 2022,Hyundai,i20,1.4 CRDi Sense,2012,194.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,220000
20846302,25 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,186.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,715000
20847131,25 Ağustos 2022,Opel,Insignia,1.6 CDTI Grand Sport Elite,2017,129.000 km,Otomatik,Dizel,Hatchback/5,1598 cc,136 hp,Önden Çekiş,"5,1 lt",62 lt,Tamamı orjinal,Takasa Uygun,Galeriden,734750
20846461,25 Ağustos 2022,Kia,Cerato,1.6 CRDi Prestige,2018,79.000 km,Yarı Otomatik,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"4,6 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,550000
20188753,25 Ağustos 2022,Mercedes - Benz,E,200 Elegance,2000,340.000 km,Otomatik,LPG & Benzin,Sedan,1998 cc,136 hp,Arkadan İtiş,"9,7 lt",65 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,298000
20846987,25 Ağustos 2022,Hyundai,i20,1.4 CRDi Style,2015,127.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,1 lt",45 lt,4 boyalı,Takasa Uygun,Sahibinden,350000
20845415,25 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Exclusive,2013,123.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,320000
20844061,25 Ağustos 2022,Opel,Vectra,1.6 Comfort,2004,280.000 km,Düz,LPG & Benzin,Sedan,1598 cc,100 hp,Önden Çekiş,"7,5 lt",61 lt,10 boyalı,Takasa Uygun,Sahibinden,195000
20846808,25 Ağustos 2022,Mercedes - Benz,C,C 200 d BlueTEC AMG,2016,157.000 km,Otomatik,Dizel,Sedan,1598 cc,136 hp,Arkadan İtiş,"4,2 lt",41 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1050000
20845441,25 Ağustos 2022,Toyota,Corolla,1.6 Comfort,2009,168.000 km,Yarı Otomatik,Benzin,Sedan,1598 cc,124 hp,Önden Çekiş,"6,7 lt",55 lt,"2 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,288000
20843989,25 Ağustos 2022,Opel,Corsa,1.3 CDTI Essentia,2012,200.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,4 lt,45 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,245000
20843889,25 Ağustos 2022,Hyundai,Accent,1.5 CRDi Admire,2004,257.000 km,Düz,Dizel,Sedan,1493 cc,82 hp,Önden Çekiş,"5,5 lt",45 lt,1 değişen,Takasa Uygun Değil,Sahibinden,114000
20844395,25 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,201.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",70 lt,"3 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,435000
20843904,25 Ağustos 2022,Volkswagen,Golf,1.4 TSi Pulse,2012,194.785 km,Düz,Benzin,Hatchback/5,1390 cc,122 hp,Önden Çekiş,"6,2 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,385000
20845993,25 Ağustos 2022,Peugeot,301,1.6 BlueHDI Active,2018,143.500 km,Düz,Dizel,Sedan,1560 cc,102 hp,Önden Çekiş,"3,9 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,310000
20839137,25 Ağustos 2022,Citroen,C4,1.6 HDi Attraction,2012,172.000 km,Düz,Dizel,Hatchback/5,1560 cc,93 hp,Önden Çekiş,"4,2 lt",60 lt,"2 değişen, 10 boyalı",Takasa Uygun Değil,Sahibinden,238000
20423210,25 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2018,106.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"3,9 lt",50 lt,"8 değişen, 2 boyalı",Takasa Uygun,Galeriden,312500
20846261,25 Ağustos 2022,Peugeot,301,1.6 HDi Active,2014,133.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,260000
20423280,25 Ağustos 2022,Renault,Clio,1.5 dCi SportTourer Joy,2018,169.000 km,Düz,Dizel,Station wagon,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,323500
20846093,25 Ağustos 2022,BMW,3 Serisi,318d Sport Plus,2017,105.000 km,Otomatik,Dizel,Sedan,1995 cc,150 hp,Arkadan İtiş,4 lt,57 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1000000
20846596,25 Ağustos 2022,Tofaş,Şahin,S,1997,80.000 km,Düz,LPG & Benzin,Sedan,1581 cc,80 hp,Arkadan İtiş,0 lt,52 lt,"2 değişen, 11 boyalı",Takasa Uygun Değil,Sahibinden,99999
20845565,25 Ağustos 2022,BMW,1 Serisi,116i Urban Line,2013,103.000 km,Otomatik,Benzin,Hatchback/5,1598 cc,136 hp,Arkadan İtiş,"5,6 lt",52 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,540000
20845465,25 Ağustos 2022,Fiat,Punto,1.3 Multijet Easy,2012,130.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,2 lt",45 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,288000
20844088,25 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2019,73.000 km,Düz,LPG & Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,355000
20846286,25 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2013,166.859 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"2 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,460000
20845432,25 Ağustos 2022,Toyota,Corolla,1.4 D-4D Advance,2013,168.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,387000
20846630,25 Ağustos 2022,Peugeot,207,1.4 HDi Trendy,2010,172.000 km,Düz,Dizel,Hatchback/5,1360 cc,71 hp,Önden Çekiş,"4,4 lt",50 lt,"2 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,195500
20847023,25 Ağustos 2022,Toyota,Yaris,1.33 Cool,2013,125.000 km,Otomatik,Benzin,Hatchback/5,1329 cc,99 hp,Önden Çekiş,5 lt,42 lt,"2 değişen, 4 boyalı",Takasa Uygun,Sahibinden,332000
20424871,25 Ağustos 2022,Chevrolet,Cruze,1.6 LT Plus,2013,145.000 km,Düz,LPG & Benzin,Hatchback/5,1598 cc,124 hp,Önden Çekiş,"6,6 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,270000
20846755,25 Ağustos 2022,Audi,A6,A6 Sedan 40 TDI Quattro Design,2022,0 km,Yarı Otomatik,Dizel,Sedan,1968 cc,204 hp,4WD (Sürekli),"4,3 lt",63 lt,Belirtilmemiş,Takasa Uygun,Galeriden,3240000
20846726,25 Ağustos 2022,Audi,A6,A6 Sedan 50 TDI Quattro Design,2018,127.800 km,Otomatik,Dizel,Sedan,2967 cc,286 hp,4WD (Sürekli),"5,8 lt",73 lt,3 boyalı,Takasa Uygun,Galeriden,2475000
20846649,25 Ağustos 2022,Audi,A3,A3 Sedan 1.6 TDI Design Line,2017,120.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,735000
20846619,25 Ağustos 2022,Tofaş,Şahin,1.6 ie,1999,125.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,52 lt,Belirtilmemiş,Takasa Uygun,Galeriden,58750
20846476,25 Ağustos 2022,Mercedes - Benz,CLS,350 D AMG,2015,96.000 km,Otomatik,Dizel,Coupe,2987 cc,252 hp,4WD (Sürekli),"6,2 lt",59 lt,Belirtilmemiş,Takasa Uygun,Galeriden,2175000
20846466,25 Ağustos 2022,Seat,Leon,1.6 TDI CR Style,2014,190.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,438750
20428423,25 Ağustos 2022,Hyundai,Getz,1.5 CRDi VGT,2006,225.000 km,Düz,Dizel,Hatchback/5,1493 cc,88 hp,Önden Çekiş,"4,5 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,175000
20846087,24 Ağustos 2022,Opel,Corsa,1.3 CDTI Essentia,2006,164.000 km,Yarı Otomatik,Dizel,Hatchback/5,1248 cc,70 hp,Önden Çekiş,"4,4 lt",44 lt,Belirtilmemiş,Takasa Uygun,Galeriden,215000
20846013,24 Ağustos 2022,Audi,A3,A3 Sedan 1.6 TDI Attraction,2015,185.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,570000
20846021,24 Ağustos 2022,Toyota,Corolla,1.4 D-4D Premium,2015,170.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,425000
20845916,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,185.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,6 boyalı,Takasa Uygun Değil,Sahibinden,670000
20391349,24 Ağustos 2022,Opel,Corsa,1.4 Essentia,2017,25.500 km,Otomatik,Benzin,Hatchback/5,1398 cc,90 hp,Önden Çekiş,6 lt,45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,420000
20232210,24 Ağustos 2022,Renault,Megane,1.4 Authentique,2004,230.000 km,Düz,LPG & Benzin,Hatchback/5,1390 cc,98 hp,Önden Çekiş,"6,7 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,165000
20845613,24 Ağustos 2022,Fiat,Linea,1.3 Multijet Active Plus,2014,210.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,210900
20693564,24 Ağustos 2022,Ford,Focus,1.5 TDCi Trend X,2016,107.000 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,421000
20845435,24 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Mode,2016,126.000 km,Otomatik,Dizel,Sedan,1582 cc,136 hp,Önden Çekiş,"5,6 lt",43 lt,Belirtilmemiş,Takasa Uygun,Galeriden,365900
20845132,24 Ağustos 2022,Renault,Megane,1.6 Touch,2019,50.000 km,Düz,Benzin,Sedan,1598 cc,115 hp,Önden Çekiş,"6,3 lt",49 lt,1 değişen,Takasa Uygun Değil,Sahibinden,440000
20845127,24 Ağustos 2022,Volkswagen,Jetta,1.2 TSi BlueMotion Comfortline,2016,86.500 km,Düz,Benzin,Sedan,1197 cc,105 hp,Önden Çekiş,5 lt,55 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,565000
20845235,24 Ağustos 2022,Toyota,Corolla,1.6 Elegant,2007,63.865 km,Düz,Benzin,Sedan,1598 cc,124 hp,Önden Çekiş,"6,9 lt",55 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,385000
20845211,24 Ağustos 2022,Mercedes - Benz,CLA,200 AMG+,2021,12.916 km,Yarı Otomatik,Benzin,Coupe,1332 cc,163 hp,Önden Çekiş,"5,7 lt",43 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1645000
20408321,24 Ağustos 2022,Opel,Astra,1.3 CDTI Edition,2011,173.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,2 lt",56 lt,3 boyalı,Takasa Uygun,Sahibinden,278000
19951099,24 Ağustos 2022,Volvo,S60,1.6 D Advance,2015,148.000 km,Yarı Otomatik,Dizel,Sedan,1560 cc,115 hp,Önden Çekiş,"4,1 lt",67 lt,Belirtilmemiş,Takasa Uygun,Galeriden,637500
20146683,24 Ağustos 2022,Citroen,Xsara,1.4 HDi,2004,237.000 km,Düz,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"4,5 lt",54 lt,1 değişen,Takasa Uygun,Sahibinden,135000
20844882,24 Ağustos 2022,Toyota,Corolla,1.6 Flame X Pack,2020,10.000 km,Otomatik,Benzin,Sedan,1598 cc,132 hp,Önden Çekiş,"5,5 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,669000
20844662,24 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban,2018,130.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,"1 değişen, 1 boyalı",Takasa Uygun,Galeriden,388500
19712696,24 Ağustos 2022,Renault,Fluence,1.5 dCi Business,2012,280.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 3 boyalı",Takasa Uygun,Galeriden,210000
20844393,24 Ağustos 2022,Opel,Corsa,1.2 City,1994,210.000 km,Düz,LPG & Benzin,Hatchback/5,1196 cc,45 hp,Önden Çekiş,0 lt,42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,98000
18669814,24 Ağustos 2022,Volkswagen,Polo,1.4 TDi Trendline,2014,170.000 km,Düz,Dizel,Hatchback/5,1422 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,315000
20844345,24 Ağustos 2022,Volvo,S60,2.0 B5 Inscription Plus,2022,5 km,Otomatik,Dizel,Sedan,1969 cc,250 hp,4WD (Sürekli),"6,4 lt",60 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,3850000
20844106,24 Ağustos 2022,Peugeot,301,1.6 HDi Active,2017,130.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Belirtilmemiş,Takasa Uygun,Galeriden,297500
20844108,24 Ağustos 2022,Ford,Focus,1.5 TDCi Titanium,2020,20.224 km,Yarı Otomatik,Dizel,Sedan,1499 cc,120 hp,Önden Çekiş,"4,2 lt",55 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,725000
20844093,24 Ağustos 2022,Mercedes - Benz,CLS,350 D AMG,2016,122.321 km,Otomatik,Dizel,Coupe,2987 cc,252 hp,4WD (Sürekli),"6,2 lt",59 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Galeriden,1875000
20844092,24 Ağustos 2022,Volkswagen,Golf,1.4 TSi Highline,2015,88.139 km,Yarı Otomatik,Benzin,Hatchback/5,1390 cc,122 hp,Önden Çekiş,6 lt,55 lt,4 boyalı,Takasa Uygun Değil,Galeriden,565000
20843855,24 Ağustos 2022,Mercedes - Benz,C,C 180 Avantgarde,2011,95.600 km,Otomatik,Benzin,Sedan,1796 cc,156 hp,Arkadan İtiş,"6,7 lt",67 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,895000
20843845,24 Ağustos 2022,Volkswagen,Passat,1.5 TSi Elegance,2020,61.000 km,Yarı Otomatik,Benzin,Sedan,1498 cc,150 hp,Önden Çekiş,"5,3 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1110000
20843761,24 Ağustos 2022,Ford,Fiesta,1.6 Trend,2013,101.000 km,Yarı Otomatik,Benzin,Hatchback/5,1596 cc,105 hp,Önden Çekiş,"5,9 lt",42 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,305000
20843673,24 Ağustos 2022,Renault,Megane,1.5 dCi Privilege,2010,253.000 km,Düz,Dizel,Hatchback/5,1461 cc,105 hp,Önden Çekiş,"4,5 lt",60 lt,"2 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,230000
20417157,24 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2014,190.000 km,Düz,Dizel,Sedan,1461 cc,90 hp,Önden Çekiş,"4,5 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,295000
20843716,24 Ağustos 2022,Skoda,Octavia,1.6 TDI Style,2017,82.500 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,7 lt",50 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,655000
20843661,24 Ağustos 2022,Ford,Focus,1.6 Ti-VCT Style,2012,146.100 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,1596 cc,125 hp,Önden Çekiş,6 lt,55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,357000
18083264,24 Ağustos 2022,Renault,Megane,1.6 Extreme,2009,265.000 km,Düz,LPG & Benzin,Sedan,1598 cc,110 hp,Önden Çekiş,"6,8 lt",60 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,216000
20843613,24 Ağustos 2022,Kia,Cerato,1.6 GSL Comfort,2011,254.800 km,Düz,LPG & Benzin,Sedan,1591 cc,126 hp,Önden Çekiş,"6,7 lt",52 lt,"1 değişen, 9 boyalı",Takasa Uygun Değil,Sahibinden,245000
20843680,24 Ağustos 2022,Skoda,SuperB,1.5 TSI Prestige,2021,5.600 km,Yarı Otomatik,Benzin,Hatchback/5,1498 cc,150 hp,Önden Çekiş,"5,4 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,1112000
20843564,24 Ağustos 2022,Volkswagen,Polo,1.4 TDi Trendline,2006,275.500 km,Düz,Dizel,Hatchback/5,1422 cc,70 hp,Önden Çekiş,"4,5 lt",45 lt,"4 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,170000
20415084,24 Ağustos 2022,Citroen,C3,1.2 PureTech Feel,2021,7.014 km,Düz,Benzin,Hatchback/5,1199 cc,110 hp,Önden Çekiş,"4,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,410000
20843453,24 Ağustos 2022,Hyundai,i10,1.0 MPI Jump,2020,19.500 km,Yarı Otomatik,Benzin,Hatchback/5,998 cc,67 hp,Önden Çekiş,"4,9 lt",36 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,375000
20417881,24 Ağustos 2022,Opel,Astra,1.4 T Edition Plus,2019,12.000 km,Düz,Benzin,Sedan,1364 cc,140 hp,Önden Çekiş,"6,2 lt",56 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,497000
20843439,24 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2017,58.396 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,1 değişen,Takasa Uygun Değil,Sahibinden,810000
20169047,24 Ağustos 2022,BMW,1 Serisi,116i Urban Line,2012,105.000 km,Otomatik,Benzin,Hatchback/5,1598 cc,136 hp,Arkadan İtiş,"5,6 lt",52 lt,"1 değişen, 6 boyalı",Takasa Uygun,Sahibinden,519797
20843504,24 Ağustos 2022,Mercedes - Benz,C,C 200 D AMG,2021,0 km,Otomatik,Dizel,Sedan,1598 cc,160 hp,Arkadan İtiş,"4,2 lt",66 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1900000
20843472,24 Ağustos 2022,Kia,Ceed,1.6 CRDi Concept Plus SW,2014,87.000 km,Otomatik,Dizel,Station wagon,1582 cc,128 hp,Önden Çekiş,"4,4 lt",53 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,520000
20416998,24 Ağustos 2022,BMW,3 Serisi,320d M Sport,2009,195.000 km,Otomatik,Dizel,Coupe,1995 cc,177 hp,Arkadan İtiş,6 lt,61 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,600000
20843379,24 Ağustos 2022,Mercedes - Benz,B,B 180 CDI BlueEFFICIENCY Style,2014,159.000 km,Yarı Otomatik,Dizel,MPV,1461 cc,109 hp,Önden Çekiş,"4,8 lt",56 lt,2 değişen,Takasa Uygun Değil,Sahibinden,516000
20302149,24 Ağustos 2022,Fiat,Linea,1.3 Multijet Urban,2014,185.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,257500
20843426,24 Ağustos 2022,Fiat,Egea,1.4 Fire Urban Plus,2020,4.500 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,380000
20843321,24 Ağustos 2022,Citroen,C-Elysee,1.6 HDi Exclusive,2016,69.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,1 lt",48 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,355000
20422713,24 Ağustos 2022,Mercedes - Benz,CLA,180 D AMG,2016,117.500 km,Otomatik,Dizel,Coupe,1461 cc,109 hp,Önden Çekiş,"3,8 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,872500
20843366,24 Ağustos 2022,Toyota,Corolla,1.4 D-4D Premium,2014,159.640 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,"2 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,410000
20415181,24 Ağustos 2022,Citroen,C3,1.2 PureTech Feel,2021,6.700 km,Düz,Benzin,Hatchback/5,1199 cc,110 hp,Önden Çekiş,"4,4 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,378000
20843341,24 Ağustos 2022,Volkswagen,VW CC,1.4 TSi,2016,135.000 km,Yarı Otomatik,Benzin,Coupe,1395 cc,150 hp,Önden Çekiş,"5,6 lt",70 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,675000
20843269,24 Ağustos 2022,Fiat,Albea,1.2 Dynamic,2005,356.000 km,Düz,LPG & Benzin,Sedan,1242 cc,80 hp,Önden Çekiş,7 lt,47 lt,"1 değişen, 8 boyalı",Takasa Uygun Değil,Sahibinden,143000
20843156,24 Ağustos 2022,Fiat,Egea,1.6 Multijet Comfort,2016,146.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,"3,9 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,385000
20843282,24 Ağustos 2022,Fiat,Punto,Grande 1.3 Multijet 1.3 Multijet,2011,215.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,7 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,190000
20843182,24 Ağustos 2022,Fiat,Linea,1.6 Multijet Lounge,2012,86.000 km,Düz,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"5,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,314000
